id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
60,CUSV00THA,-1132913.7678,6092530.5657,1504633.5192,13.735999999999999,100.53399999999999,76.46300000000001,JAVAD TRE_3 DELTA
61,CUT000AUS,-2364337.2699,4870285.5624,-3360809.8398,-32.004,115.895,24.403000000000002,TRIMBLE NETR9
62,CUUT00THA,-1132915.824,6092526.351,1504641.505,13.735999999999999,100.53399999999999,74.699,TRIMBLE NETR9
63,CYNE00GUF,3880933.0,-5033206.0,532565.0,4.822,-52.365,-22.414,SEPT POLARX5
64,CZTG00ATF,2719994.82,3463392.63,-4598612.94,-46.431999999999995,51.855,203.222,TRIMBLE ALLOY
65,DAE200KOR,-3120042.2739999997,4084614.722,3764026.818,36.399,127.374,117.244,TRIMBLE NETR9
66,DAEJ00KOR,-3120041.8210000005,4084615.2210000004,3764027.0130000003,36.399,127.374,117.458,TRIMBLE NETR9
67,DARW00AUS,-4091359.6122,4684606.4228,-1408579.1258,-12.844000000000001,131.13299999999998,125.51,SEPT POLARX5
68,DAV100ATA,486854.4996,2285099.3657,-5914955.7712,-68.577,77.973,44.953,SEPT POLARX5
69,DGAR00GBR,1916269.343,6029977.688999999,-801719.821,-7.27,72.37,-64.345,SEPT POLARX5
70,DJIG00DJI,4583086.1415,4250982.5036,1266243.0645,11.526,42.847,711.812,SEPT POLARX5
71,DLF100NLD,3924697.942,301124.893,5001905.154,51.986000000000004,4.387,76.283,TRIMBLE NETR9
72,DLTV00VNM,-1978879.0969999998,5920511.651000001,1311808.34,11.945,108.48200000000001,1585.694,TRIMBLE NETR9
73,DRAO00CAN,-2059164.6819999998,-3621108.3880000003,4814432.366,49.323,-119.625,542.2909999999999,SEPT POLARX5
74,DUBO00CAN,-417603.6,-4064529.8,4881432.16,50.25899999999999,-95.866,245.695,SEPT POLARX5
75,DUMG00ATA,-1940884.0,1628468.0,-5833720.0,-66.665,140.002,-2.9389999999999996,LEICA GR25
76,DUND00NZL,-4388121.17,726671.05,-4556535.63,-45.88399999999999,170.597,389.288,TRIMBLE ALLOY
77,DYNG00GRC,4595220.016,2039434.081,3912626.0069999998,38.079,23.932,510.995,SEPT POLARX5
78,EBRE00ESP,4833520.0,41536.0,4147461.0,40.821,0.49200000000000005,107.745,LEICA GR50
79,ENAO00PRT,4375732.153,-2329166.8140000002,4000238.2810000004,39.091,-28.026,91.975,JAVAD TRE_3
80,FAA100PYF,-5247393.1110000005,-3076867.223,-1911521.5280000002,-17.555,-149.614,12.543,SEPT POLARX5
81,FAIR00USA,-2281621.7717,-1453595.9493,5756961.9444,64.97800000000001,-147.499,319.623,SEPT POLARX5
82,FALK00FLK,2106811.344,-3355170.6666,-4981786.3348,-51.693999999999996,-57.873999999999995,51.275,SEPT POLARX5
83,FFMJ00DEU,4053455.7,617729.9,4869395.9,50.091,8.665,178.696,JAVAD TRE_3 DELTA
84,FLIN00CAN,-766174.46,-3611375.32,5184056.22,54.726000000000006,-101.978,311.932,SEPT POLARX5
85,FLRS00PRT,4221530.01,-2549242.33,4031397.8,39.454,-31.125999999999998,80.286,TRIMBLE ALLOY
86,FTNA00WLF,-6178322.4459,-202694.9925,-1566024.4684,-14.308,-178.12099999999998,85.262,TRIMBLE NETR9
87,FUNC00PRT,5143339.43,-1563412.87,3421191.44,32.648,-16.908,78.917,TRIMBLE ALLOY
88,GAMB00PYF,-4147126.8085,-4152222.1446,-2490033.108,-23.13,-134.965,81.068,TRIMBLE NETR9
89,GAMG00KOR,-3191598.0,4096876.0,3691823.0,35.59,127.92,898.703,SEPT POLARX5TR
90,GANP00SVK,3929181.5,1455236.8,4793653.9,49.035,20.323,746.453,TRIMBLE ALLOY
91,GCGO00USA,-2281621.6297,-1453585.1138,5756964.9518,64.97800000000001,-147.499,319.835,JAVAD TRE_3 DELTA
92,GENO00ITA,4507890.272,707618.974,4441603.008,44.419,8.921,153.878,LEICA GR30
93,GLPS00ECU,-33801.259,-6377516.5276,-82154.3037,-0.743,-90.304,2.188,JAVAD TRE_G3TH DELTA
94,GLSV00UKR,3512889.29,2068980.654,4888903.261,50.364,30.497,227.227,TRIMBLE NETR9
95,GODE00USA,1130773.7179999999,-4831253.581,3994200.422,39.022,-76.827,14.927,SEPT POLARX5TR
96,GODN00USA,1130760.8757,-4831298.688,3994155.1861,39.021,-76.827,18.294,JAVAD TRE_3 DELTA
97,GODS00USA,1130752.3046,-4831349.1223,3994098.9504,39.021,-76.827,19.523,JAVAD TRE_3 DELTA
98,GOLD00USA,-2353614.316,-4641385.3523,3676976.434,35.425,-116.889,987.097,JAVAD TRE_G3TH DELTA
99,GOP600CZE,3979319.62,1050311.94,4857064.38,49.913999999999994,14.786,593.033,SEPT POLARX5
100,GOP700CZE,3979319.64,1050311.92,4857064.37,49.913999999999994,14.786,593.035,TRIMBLE NETR9
101,GOPE00CZE,3979316.1339999996,1050312.478,4857067.108,49.913999999999994,14.786,593.038,TRIMBLE ALLOY
102,GRAC00FRA,4581708.63,556132.23,4389340.93,43.754,6.921,1320.227,LEICA GR50
103,GRAS00FRA,4581690.811000001,556114.9720000001,4389360.88,43.755,6.921,1319.745,TRIMBLE NETR9
104,GRAZ00AUT,4194424.124,1162702.46,4647245.193,47.067,15.493,538.7180000000001,SEPT POLARX5
105,GUAM00GUM,-5071312.6574,3568363.6347,1488904.4019999998,13.589,144.868,202.317,JAVAD TRE_3 DELTA
106,HAL100USA,-5466017.9454,-2404394.6546,2242210.2481,20.706999999999997,-156.256,3073.2509999999997,SEPT POLARX5
107,HARB00ZAF,5084657.615,2670325.2503,-2768481.0274,-25.886999999999997,27.706999999999997,1558.489,SEPT POLARX5TR
108,HERS00GBR,4033471.33,23667.86,4924300.35,50.867,0.336,76.92699999999999,SEPT POLARX5TR
